All days with start 2021-01-01,Fitted curve MK (deg),Fitted curve BA (deg),Theoretical curve simple model (deg),Days when measured beta,Beta naive min (deg), Beta uncertainty pm (deg)
279.0,63.45934953850696,63.84223542717322,63.688923499161085,,,
280.0,63.84269472928447,64.22384383251902,64.07777613076095,,,
281.0,64.22430612329599,64.60361054186927,64.46473545380546,,,
282.0,64.60407526795177,64.98142763489042,64.84968695453514,,,
283.0,64.98189423422272,65.35718774528183,65.23251671337,,,
284.0,65.35765564731342,65.73078409128664,65.613111438622,,,
285.0,65.73125271717772,66.10211050603641,65.99135850002166,,,
286.0,66.102579268868,66.47106146772121,66.36714596204914,,,
287.0,66.47152977270986,66.83753212957629,66.74036261705936,,,
288.0,66.83799937429308,67.20141834967694,67.11089801819216,,,
289.0,67.20188392427102,67.56261672053309,67.47864251205692,,,
290.0,67.5630800079594,67.92102459847507,67.84348727118265,,,
291.0,67.92148497472647,68.27654013282259,68.20532432622343,,,
292.0,68.27699696716586,68.62906229482797,68.56404659791022,,,
293.0,68.62951495004415,68.97849090638623,68.91954792873887,,,
294.0,68.9789387390147,69.32472666850305,69.27172311438567,,,
295.0,69.32516902908965,69.66767118951323,69.62046793484066,,,
296.0,69.6681074228621,70.00722701304115,69.96567918524975,,,
297.0,70.00765645847031,70.3432976456954,70.30725470645632,,,
298.0,70.34371963729592,70.67578758448991,70.64509341523338,,,
299.0,70.67620145138858,71.00460234398345,70.97909533419748,,,
300.0,71.00500741060898,71.32964848313017,71.30916162139515,,,
301.0,71.33004406948257,71.65083363183315,71.63519459955343,,,
302.0,71.65121905375645,71.96806651719379,71.95709778498575,,,
303.0,71.96844108665175,72.28125698944918,72.27477591614458,,,
304.0,72.28162001480428,72.5903160475906,72.58813498181239,,,
305.0,72.59066683388563,72.89515586465532,72.89708224892259,,,
306.0,72.89549371389809,73.19568981268488,73.20152629000226,,,
307.0,73.19601402413538,73.49183248734256,73.50137701022848,,,
308.0,73.49214235780299,73.78349973218332,73.79654567409031,,,
309.0,73.78379455629036,74.07060866256884,74.08694493164843,,,
310.0,74.07088773308848,74.35307768922145,74.37248884438492,,,
311.0,74.35334029734604,74.63082654140958,74.65309291063515,,,
312.0,74.63107197705709,74.9037762897589,74.9286740905946,,,
313.0,74.90400384187417,75.17184936868206,75.199150830893,,,
314.0,75.17205832554001,75.43496959842089,75.46444308872861,,,
315.0,75.43515924793154,75.69306220669478,75.72447235555546,,,
316.0,75.69323183671008,75.94605384994917,75.97916168031658,,,
317.0,75.94620274857134,76.193872634198,76.22843569221628,,,
318.0,76.19400009008925,76.43644813545417,76.47222062302485,,,
319.0,76.43655343814795,76.67371141974226,76.7104443289089,,,
320.0,76.67379385995567,76.90559506268792,76.94303631178111,,,
321.0,76.90565393263526,77.13203316867826,77.16992774016283,,,
322.0,77.1320677623855,77.35296138958762,77.39105146955357,,,
323.0,77.35297100320784,77.56831694306389,77.60634206230125,,,
324.0,77.56830087519339,77.77803863036954,77.81573580696724,,,
325.0,77.77799618236466,77.9820668537729,78.01917073718074,,,
326.0,77.98199733006732,78.18034363348437,78.21658664997652,,,
327.0,78.1802463419067,78.37281262413276,78.407925123611,,,
328.0,78.37268687622452,78.55941913077734,78.59312953485107,,,
329.0,78.55926424211101,78.74011012445075,78.7721450757308,,,
330.0,78.73992541494785,78.91483425722855,78.94491876977087,,,
331.0,78.91461905147752,79.08354187682102,79.11139948765592,,,
332.0,79.08329550439495,79.24618504068306,79.27153796236551,,,
333.0,79.2459068364571,79.40271752963844,79.42528680375376,,,
334.0,79.40240683410646,79.55309486101393,79.57260051257362,,,
335.0,79.55275102060492,79.69727430128042,79.71343549394156,,,
336.0,79.69689666867379,79.83521487819647,79.84775007023872,,,
337.0,79.83480281263678,79.96687739245186,79.97550449344467,,,
338.0,79.96643026006227,80.09222442880692,80.0966609569001,,,
339.0,80.09174160290172,80.21122036672503,80.21118360649506,,,
340.0,80.21070122812084,80.32383139049517,80.31903855127935,,,
341.0,80.32327532782074,80.43002549884142,80.42019387349195,,,
342.0,80.42943190884591,80.52977251401703,80.51461963800648,,,
343.0,80.52914080187675,80.62304409038008,80.60228790119,,,
344.0,80.62237367000336,80.70981372244873,80.68317271917243,,,
345.0,80.70910401677895,80.79005675243332,80.7572501555242,,,
346.0,80.78930719374999,80.86375037724356,80.82449828833975,,,
347.0,80.86296040746116,80.93087365496864,80.884897216725,,,
348.0,80.93004272593325,80.99140751082832,80.93842906668661,,,
349.0,80.99053508461188,81.04533474259357,80.98507799642155,,,
350.0,81.04442029178567,81.09264002547499,81.02483020100507,,,
351.0,81.09168303347192,81.13330991647776,81.05767391647618,,,
352.0,81.13230987776896,81.16733285822183,81.08359942331887,,,
353.0,81.1662892786733,81.19469918222615,81.10259904933847,,,
354.0,81.19361157936106,81.21540111165632,81.11466717193208,,,
355.0,81.21426901493236,81.22943276353453,81.11980021975256,,,
356.0,81.22825571461807,81.23679015041134,81.11799667376528,,,
357.0,81.23556770344831,81.23747118149882,81.10925706769774,,,
358.0,81.23620290338206,81.23147566326475,81.0935839878816,,,
359.0,81.23016113389781,81.21880529948756,81.07098207248728,,,
360.0,81.21744411204475,81.19946369077215,81.04145801015143,,,
361.0,81.1980554519549,81.17345633352677,81.0050205379975,,,
362.0,81.17200066381592,81.14079061840098,80.9616804390501,,,
363.0,81.13928715230519,81.10147582818547,80.91145053904411,,,
