Time [s],Wavelength [nm],Voltage [V]
3726654394.2653646500,664.5937500000,0.0010886000
3726654395.1500296600,664.8125000000,0.0010988000
3726654396.0306873300,665.0000000000,0.0011069000
3726654396.9173622100,665.1875000000,0.0011437000
3726654397.8022255900,665.4062500000,0.0011396000
3726654398.6809973700,665.5937500000,0.0011703000
3726654399.5634965900,665.8125000000,0.0012458000
3726654400.4470529500,666.0000000000,0.0012765000
3726654401.3307709700,666.1875000000,0.0014153000
3726654402.2139391900,666.4062500000,0.0014868000
3726654403.0946497900,666.5937500000,0.0016747000
3726654403.9752831400,666.8125000000,0.0030768000
3726654404.8594918200,667.0000000000,0.0049200000
3726654405.7430720300,667.1875000000,0.1385800000
3726654406.6226792300,667.4062500000,0.2464691000
3726654407.5010933900,667.5937500000,0.7447297000
3726654408.3824567800,667.8125000000,0.2034953000
3726654409.2610874200,668.0000000000,0.1431772000
3726654410.1438369700,668.1875000000,0.0043583000
3726654411.0249495500,668.4062500000,0.0025519000
3726654411.9029903400,668.5937500000,0.0016706000
3726654412.7909297900,668.8125000000,0.0013684000
3726654413.6722841300,669.0000000000,0.0013439000
3726654414.5482392300,669.1875000000,0.0012234000
3726654415.4325976400,669.4062500000,0.0012193000
3726654416.3130040200,669.5937500000,0.0011805000
3726654417.1991887100,669.8125000000,0.0011355000
3726654418.0851192500,670.0000000000,0.0011274000
3726654418.9692177800,670.1875000000,0.0010988000
3726654419.8579087200,670.4062500000,0.0010886000
3726654420.7399096500,670.5937500000,0.0011519000
3726654421.6157608000,670.8125000000,0.0011621000
3726654422.5016570100,671.0000000000,0.0011437000
3726654423.3850798600,671.1875000000,0.0010477000
3726654424.2670760100,671.4062500000,0.0010457000
3726654425.1465630500,671.5937500000,0.0010702000
3726654426.0272607800,671.8125000000,0.0010518000
3726654426.9123778300,672.0000000000,0.0010416000
3726654427.7976079000,672.1875000000,0.0010293000
3726654428.6784014700,672.4062500000,0.0010191000
3726654429.5609726900,672.5937500000,0.0010150000
3726654430.4400119800,672.8125000000,0.0010069000
3726654431.3186016100,673.0000000000,0.0010089000
3726654432.1967320400,673.1875000000,0.0009987000
3726654433.0758504900,673.4062500000,0.0009967000
3726654433.9521184000,673.5937500000,0.0009946000
3726654434.8367810200,673.8125000000,0.0009864000
3726654435.7130208000,674.0000000000,0.0009824000
3726654436.5979385400,674.1875000000,0.0009783000
3726654437.4818911500,674.4062500000,0.0009803000
3726654438.3628926300,674.5937500000,0.0009905000
3726654439.2432961500,674.8125000000,0.0009844000
3726654440.1238031400,675.0000000000,0.0009946000
3726654441.0077185600,675.1875000000,0.0010212000
3726654441.8909807200,675.4062500000,0.0010457000
3726654442.7722945200,675.5937500000,0.0011029000
3726654443.6504430800,675.8125000000,0.0011457000
3726654444.5303063400,676.0000000000,0.0010763000
3726654445.4160766600,676.1875000000,0.0009517000
3726654446.2930264500,676.4062500000,0.0009231000
3726654447.1777167300,676.5937500000,0.0009170000
3726654448.0595359800,676.8125000000,0.0008986000
3726654448.9401230800,677.0000000000,0.0008925000
3726654449.8258461900,677.1875000000,0.0008905000
3726654450.7069025000,677.4062500000,0.0008945000
3726654451.5902810100,677.5937500000,0.0008843000
3726654452.4732751800,677.8125000000,0.0008884000
3726654453.3552041000,678.0000000000,0.0008782000
3726654454.2271022800,678.1875000000,0.0008782000
3726654455.1107578300,678.4062500000,0.0008762000
3726654455.9970817600,678.5937500000,0.0008721000
3726654456.8738222100,678.8125000000,0.0008516000
3726654457.7550306300,679.0000000000,0.0008619000
3726654458.6400504100,679.1875000000,0.0008578000
3726654459.5244464900,679.4062500000,0.0008537000
3726654460.4080529200,679.5937500000,0.0008557000
3726654461.2908201200,679.8125000000,0.0008496000
3726654462.1678786300,680.0000000000,0.0008537000
3726654463.0471344000,680.1875000000,0.0008353000
3726654463.9310941700,680.4062500000,0.0008476000
3726654464.8143968600,680.5937500000,0.0008374000
3726654465.6952905600,680.8125000000,0.0008476000
3726654466.5772762300,681.0000000000,0.0008414000
3726654467.4485888500,681.1875000000,0.0008435000
3726654468.3351974500,681.4062500000,0.0008374000
3726654469.2163128800,681.5937500000,0.0008353000
3726654470.1036829900,681.8125000000,0.0008312000
3726654470.9903206800,682.0000000000,0.0008333000
3726654471.8723335300,682.1875000000,0.0008271000
                                                   3726654542.3445415500,683.4062500000,0.0008251000
3726654543.2252202000,683.5937500000,0.0008292000
3726654544.1008286500,683.8125000000,0.0008231000
3726654544.9845013600,684.0000000000,0.0008292000
3726654545.8663039200,684.1875000000,0.0008251000
3726654546.7435631700,684.4062500000,0.0008271000
3726654547.6279792800,684.5937500000,0.0008169000
3726654548.5107879600,684.8125000000,0.0008251000
3726654549.3901639000,685.0000000000,0.0008271000
3726654550.2708950000,685.1875000000,0.0008271000
3726654551.1517958600,685.4062500000,0.0008231000
3726654552.0293593400,685.5937500000,0.0008292000
3726654552.9117584200,685.8125000000,0.0008210000
3726654553.7930374100,686.0000000000,0.0008312000
3726654554.6750230800,686.1875000000,0.0008333000
3726654555.5562095600,686.4062500000,0.0008333000
3726654556.4390111000,686.5937500000,0.0008312000
3726654557.3232207300,686.8125000000,0.0008394000
3726654558.2058472600,687.0000000000,0.0008435000
3726654559.0848841700,687.1875000000,0.0008353000
3726654559.9645066200,687.4062500000,0.0008312000
3726654560.8502202000,687.5937500000,0.0008251000
3726654561.7350745200,687.8125000000,0.0008292000
3726654562.6183166500,688.0000000000,0.0008231000
3726654563.4940385800,688.1875000000,0.0008374000
3726654564.3740730300,688.4062500000,0.0008312000
3726654565.2626166300,688.5937500000,0.0008292000
3726654566.1408543600,688.8125000000,0.0008231000
3726654567.0262031500,689.0000000000,0.0008251000
3726654567.9103536600,689.1875000000,0.0008374000
3726654568.7870473800,689.4062500000,0.0008394000
3726654569.6663775400,689.5937500000,0.0008210000
3726654570.5491776500,689.8125000000,0.0008108000
3726654571.4331054700,690.0000000000,0.0008190000
3726654572.3132376700,690.1875000000,0.0008190000
3726654573.1959872200,690.4062500000,0.0008149000
3726654574.0697279000,690.5937500000,0.0008210000
3726654574.9482903500,690.8125000000,0.0008169000
3726654575.8292593900,691.0000000000,0.0008210000
3726654576.7121334100,691.1875000000,0.0008231000
3726654577.5914053900,691.4062500000,0.0008128000
3726654578.4708743100,691.5937500000,0.0008169000
3726654579.3512153600,691.8125000000,0.0008271000
3726654580.2356386200,692.0000000000,0.0008190000
3726654581.1156554200,692.1875000000,0.0008251000
3726654581.9911789900,692.4062500000,0.0008292000
3726654582.8702206600,692.5937500000,0.0008516000
3726654583.7518506000,692.8125000000,0.0008762000
3726654584.6298599200,693.0000000000,0.0008516000
3726654586.0516734100,693.1875000000,0.0008271000
3726654586.9249401100,693.4062500000,0.0008251000
3726654587.8035287800,693.5937500000,0.0008333000
3726654588.6903934500,693.8125000000,0.0008292000
3726654589.5666518200,694.0000000000,0.0008374000
3726654590.4499192200,694.1875000000,0.0008435000
3726654591.3303813900,694.4062500000,0.0008374000
3726654592.2048525800,694.5937500000,0.0008414000
3726654593.0871930100,694.8125000000,0.0008394000
3726654593.9678673700,695.0000000000,0.0008435000
3726654594.8486290000,695.1875000000,0.0008476000
3726654595.7373905200,695.4062500000,0.0008476000
3726654596.6181550000,695.5937500000,0.0008414000
